,4
514,6
515,7
516,1
517,6
518,7
519,5
520,3
521,1
522,2
523,3
524,1
525,2
526,2
527,1
528,6
529,0
530,1
531,4
532,2
533,4
534,0
535,0
536,1
537,0
538,5
539,1
540,3
541,1
542,1
543,3
544,1
545,2
546,5
547,7
548,1
549,2
550,0
551,6
552,3
553,6
554,5
555,2
556,7
557,2
558,1
559,2
560,2
561,5
562,3
563,4
564,6
565,4
566,4
567,1
568,3
569,4
570,0
571,3
572,1
573,1
574,1
575,3
576,2
577,4
578,2
579,5
580,2
581,2
582,4
583,7
584,2
585,6
586,0
587,0
588,1
589,0
590,5
591,6
592,0
593,7
594,3
595,6
596,5
597,5
598,2
599,1
600,1
601,5
602,3
603,5
604,5
605,7
606,0
607,4
608,5
609,7
610,3
611,1
612,4
613,7
614,0
615,7
616,2
617,7
618,2
619,1
620,7
621,6
622,5
623,5
624,7
625,2
626,4
627,2
628,1
629,3
630,5
631,4
632,2
633,6
634,7
635,3
636,4
637,6
638,0
639,3
640,4
641,0
642,0
643,2
644,0
645,7
646,4
647,4
648,7
649,7
650,3
651,7
652,3
653,5
654,7
655,1
656,5
657,1
658,0
659,7
660,4
661,1
662,4
663,5
664,2
665,6
666,3
667,0
668,6
669,3
670,5
671,0
672,2
673,5
674,7
675,5
676,6
677,1
678,5
679,1
680,2
681,0
682,0
683,7
684,2
685,0
686,5
687,7
688,2
689,1
690,0
691,7
692,4
693,3
694,0
695,2
696,6
697,6
698,4
699,1
700,4
701,1
702,4
703,5
704,0
705,4
706,4
707,3
708,4
709,1
710,6
711,7
712,0
713,4
714,5
715,3
716,6
717,1
718,6
719,1
720,2
721,2
722,4
723,5
724,1
725,2
726,5
727,3
728,3
729,4
730,4
731,2
732,2
733,1
734,4
735,2
736,5
737,3
738,3
739,3
740,4
741,7
742,6
743,0
744,6
745,2
746,5
747,3
748,5
749,1
750,5
751,5
752,6
753,4
754,3
755,4
756,0
757,2
758,7
759,5
760,7
761,5
762,0
763,5
764,6
765,2
766,2
767,2
768,3
769,7
770,5
771,3
772,6
773,3
774,3
775,0
776,1
777,5
778,2
779,3
780,6
781,6
782,5
783,1
784,4
785,2
786,4
787,1
788,0
789,0
790,7
791,1
792,5
793,5
794,0
795,5
796,6
797,4
798,4
799,7
800,2
801,5
802,7
803,5
804,2
805,2
806,5
807,6
808,5
809,7
810,5
811,7
812,2
813,1
814,2
815,6
816,4
817,0
818,5
819,3
820,1
821,1
822,5
823,4
824,1
825,3
826,3
827,2
828,4
829,7
830,3
831,4
832,2
833,4
834,1
835,4
836,2
837,4
838,7
839,2
840,6
841,5
842,1
843,2
844,4
845,2
846,2
847,7
848,0
849,7
850,2
851,2
852,2
853,6
854,1
855,1
856,6
857,6
858,1
859,7
860,3
861,3
862,1
863,0
864,7
865,6
866,0
867,2
868,2
869,3
870,1
871,1
872,6
873,7
874,4
875,3
876,2
877,5
878,4
879,3
880,5
881,6
882,0
883,7
884,7
885,3
886,6
887,7
888,1
889,4
890,3
891,1
892,3
893,3
894,2
895,2
896,6
897,7
898,6
899,5
900,0
901,5
902,3
903,2
904,3
905,5
906,4
907,0
908,7
909,1
910,4
911,7
912,4
913,3
914,6
915,1
916,1
917,1
918,7
919,7
920,5
921,4
922,0
923,1
924,7
925,6
926,4
927,0
928,5
929,5
930,2
931,6
932,6
933,7
934,5
935,3
936,0
937,6
938,6
939,7
940,1
941,6
942,4
943,6
944,7
945,7
946,0
947,1
948,3
949,1
950,5
951,4
952,1
953,3
954,7
955,2
956,1
957,4
958,1
959,4
960,2
961,7
962,4
963,5
964,6
965,1
966,0
967,4
968,5
969,3
970,4
971,3
972,4
973,1
974,4
975,4
976,6
977,4
978,3
979,6
980,2
981,7
982,5
983,0
984,0
985,4
986,5
987,5
988,1
989,5
990,7
991,4
992,4
993,4
994,7
995,1
996,1
997,2
998,4
999,0
1000,4
1001,6
1002,5
1003,6
1004,2
1005,2
1006,5
1007,1
1008,4
1009,5
1010,6
1011,7
1012,3
1013,5
1014,4
1015,4
1016,6
1017,5
1018,1
1019,0
1020,1
1021,3
1022,1
1023,3
1024,6
1025,0
1026,1
1027,2
1028,6
1029,4
1030,6
1031,7
1032,7
1033,7
1034,3
1035,4
1036,3
1037,4
1038,0
1039,3
1040,0
1041,2
1042,2
1043,5
1044,5
1045,5
1046,4
1047,5
1048,4
1049,5
1050,2
1051,3
1052,0
1053,7
1054,7
1055,0
1056,0
1057,3
1058,6
1059,2
1060,5
1061,5
1062,7
1063,2
1064,4
1065,4
1066,3
1067,2
1068,0
1069,6
1070,0
1071,0
1072,0
1073,5
1074,5
1075,7
1076,0
1077,0
1078,6
1079,0
1080,6
1081,1
1082,1
1083,5
1084,7
1085,4
1086,5
1087,4
1088,1
1089,2
1090,4
1091,7
1092,2
1093,6
1094,2
1095,6
1096,3
1097,5
1098,2
1099,4
1100,1
1101,0
1102,5
1103,5
1104,6
1105,5
1106,7
1107,2
1108,7
1109,7
1110,0
1111,7
1112,0
1113,5
1114,0
1115,5
1116,3
1117,1
1118,3
1119,6
1120,0
1121,1
1122,5
1123,0
1124,7
1125,7
1126,7
1127,1
1128,0
1129,0
1130,4
1131,6
1132,1
1133,7
1134,5
1135,4
1136,7
1137,2
1138,5
1139,7
1140,1
1141,7
1142,6
1143,4
1144,3
1145,7
1146,0
1147,1
1148,4
1149,6
1150,3
1151,7
1152,1
1153,3
1154,1
1155,1
1156,3
1157,0
1158,2
1159,2
1160,6
1161,4
1162,2
1163,7
1164,3
1165,7
1166,0
1167,2
1168,1
1169,2
1170,5
1171,2
1172,7
1173,6
1174,0
1175,2
1176,6
1177,1
1178,5
1179,5
1180,2
1181,6
1182,7
1183,1
1184,2
1185,2
1186,7
1187,0
1188,0
1189,5
1190,1
1191,2
1192,6
1193,0
1194,1
1195,5
1196,5
1197,7
1198,1
1199,4
1200,0
1201,2
1202,3
1203,5
1204,5
1205,2
1206,7
1207,6
1208,3
1209,4
1210,6
1211,0
1212,4
1213,1
1214,1
1215,4
1216,7
1217,3
1218,5
1219,1
1220,5
1221,5
1222,3
1223,6
1224,6
1225,3
1226,5
1227,3
1228,1
1229,4
1230,5
1231,3
1232,5
1233,3
1234,2
1235,2
1236,4
1237,0
1238,3
1239,6
1240,7
1241,3
1242,6
1243,7
1244,4
1245,5
1246,5
1247,6
1248,3
1249,0
1250,1
1251,5
1252,3
1253,2
1254,4
1255,7
1256,7
1257,3
1258,7
1259,1
1260,6
1261,2
1262,4
1263,0
1264,2
1265,0
1266,7
1267,3
1268,6
1269,6
1270,0
1271,0
1272,3
1273,0
1274,5
1275,4
1276,2
1277,3
1278,3
1279,4
1280,6
1281,0
1282,2
1283,1
1284,6
1285,1
1286,5
1287,6
1288,3
1289,7
1290,7
1291,7
1292,4
1293,6
1294,7
1295,3
1296,6
1297,3
1298,1
1299,2
1300,3
1301,4
1302,7
1303,1
1304,6
1305,1
1306,5
1307,3
1308,6
1309,0
1310,4
1311,2
1312,0
1313,6
1314,7
1315,1
1316,0
1317,0
1318,1
1319,3
1320,3
1321,7
1322,0
1323,1
1324,2
1325,7
1326,4
1327,4
1328,6
1329,2
1330,3
1331,5
1332,7
1333,0
1334,7
1335,5
1336,4
1337,6
1338,3
1339,3
1340,4
1341,5
1342,0
1343,0
1344,0
1345,3
1346,7
1347,0
1348,2
1349,4
1350,6
1351,5
1352,0
1353,5
1354,6
1355,1
1356,6
1357,5
1358,5
1359,6
1360,7
1361,3
1362,4
1363,7
1364,6
1365,0
1366,3
1367,1
1368,2
1369,6
1370,3
1371,0
1372,3
1373,7
1374,5
1375,0
1376,1
1377,5
1378,1
1379,5
1380,5
1381,3
1382,2
1383,5
1384,6
1385,2
1386,1
1387,7
1388,5
1389,2
1390,5
1391,6
1392,2
1393,1
1394,7
1395,3
1396,0
1397,4
1398,0
1399,6
1400,7
1401,7
1402,0
1403,5
1404,0
1405,3
1406,1
1407,5
1408,6
1409,3
1410,1
1411,6
1412,2
1413,6
1414,2
1415,5
1416,2
1417,2
1418,6
1419,3
1420,3
1421,2
1422,7
1423,1
1424,0
1425,6
1426,6
1427,7
1428,7
1429,7
1430,3
1431,4
1432,5
1433,4
1434,2
1435,0
1436,1
1437,6
1438,6
1439,5
1440,6
1441,3
1442,4
1443,6
1444,4
1445,0
1446,5
1447,3
1448,6
1449,2
1450,3
1451,4
1452,6
1453,2
1454,7
1455,0
1456,2
1457,5
1458,6
1459,6
1460,1
1461,6
1462,1
1463,4
1464,6
1465,1
1466,7
1467,7
1468,7
1469,3
1470,1
1471,2
1472,3
1473,0
1474,3
1475,3
1476,5
1477,6
1478,3
1479,6
1480,4
1481,4
1482,7
1483,6
1484,3
1485,5
1486,7
1487,3
1488,5
1489,4
1490,6
1491,2
1492,4
1493,6
1494,0
1495,3
1496,7
1497,7
1498,7
1499,2
1500,4
1501,0
1502,3
1503,3
1504,7
1505,1
1506,7
1507,0
1508,5
1509,3
1510,6
1511,7
1512,1
1513,0
1514,5
1515,1
1516,1
1517,3
1518,3
1519,6
1520,1
1521,2
1522,0
1523,2
1524,0
1525,2
1526,2
1527,3
1528,0
1529,0
1530,5
1531,0
1532,4
1533,5
1534,2
1535,0
1536,4
1537,3
1538,3
1539,7
1540,3
1541,6
1542,1
1543,4
1544,7
1545,2
1546,2
1547,5
1548,0
1549,4
1550,2
1551,5
1552,4
1553,0
1554,4
1555,7
1556,1
1557,6
1558,0
1559,1
1560,0
1561,3
1562,4
1563,6
1564,7
1565,2
1566,6
1567,3
1568,6
1569,5
1570,6
1571,1
1572,7
1573,3
1574,3
1575,3
1576,1
1577,0
1578,1
1579,6
1580,7
1581,7
1582,6
1583,2
1584,2
1585,2
1586,7
1587,3
1588,5
1589,3
1590,5
1591,1
1592,3
1593,2
1594,6
1595,6
1596,3
1597,2
1598,1
1599,1
1600,6
1601,7
1602,5
1603,2
1604,4
1605,0
1606,6
1607,0
1608,4
1609,5
1610,6
1611,4
1612,2
1613,4
1614,6
1615,5
1616,5
1617,3
1618,7
1619,6
1620,4
1621,6
1622,2
1623,1
1624,4
1625,2
1626,6
1627,7
1628,1
1629,2
1630,3
1631,7
1632,1
1633,7
1634,7
1635,2
1636,4
1637,1
1638,2
1639,7
1640,4
1641,1
1642,4
1643,5
1644,7
1645,4
1646,3
1647,7
1648,6
1649,3
1650,0
1651,3
1652,6
1653,5
1654,2
1655,0
1656,0
1657,7
1658,1
1659,4
1660,0
1661,1
1662,2
1663,7
1664,4
1665,6
1666,1
1667,4
1668,7
1669,3
1670,5
1671,7
1672,1
1673,7
1674,4
1675,7
1676,1
1677,1
1678,0
1679,1
1680,6
1681,2
1682,3
1683,0
1684,2
1685,1
1686,1
1687,4
1688,0
1689,2
1690,1
1691,6
1692,6
1693,5
1694,5
1695,2
1696,7
1697,4
1698,4
1699,0
1700,3
1701,3
1702,1
1703,1
1704,1
1705,5
1706,4
1707,6
1708,0
1709,1
1710,4
1711,7
1712,4
1713,6
1714,5
1715,0
1716,7
1717,7
1718,6
1719,0
1720,1
1721,4
1722,3
1723,1
1724,7
1725,6
1726,4
1727,5
1728,2
1729,1
1730,7
1731,6
1732,0
1733,3
1734,2
1735,1
1736,7
1737,4
1738,3
1739,1
1740,1
1741,5
1742,1
1743,1
1744,3
1745,0
1746,7
1747,5
1748,1
1749,1
1750,6
1751,2
1752,4
1753,7
1754,3
1755,3
1756,2
1757,1
1758,2
1759,3
1760,6
1761,0
1762,6
1763,2
1764,2
1765,0
1766,4
1767,7
1768,0
1769,5
1770,0
1771,5
1772,7
1773,2
1774,3
1775,6
1776,6
1777,2
1778,5
1779,3
1780,0
1781,5
1782,2
1783,1
1784,0
1785,6
1786,6
1787,4
1788,4
1789,3
1790,3
1791,0
1792,2
1793,0
1794,7
1795,0
1796,3
1797,5
1798,4
1799,0
1800,5
1801,6
1802,7
1803,0
1804,7
1805,1
1806,2
1807,4
1808,4
1809,2
1810,7
1811,2
1812,4
1813,0
1814,4
1815,7
1816,0
1817,4
1818,3
1819,1
1820,5
1821,5
1822,3
1823,6
1824,2
1825,3
1826,1
1827,0
1828,0
1829,6
1830,1
1831,1
1832,5
1833,7
1834,1
1835,1
1836,4
1837,5
1838,7
1839,4
1840,6
1841,7
1842,0
1843,4
1844,5
1845,1
1846,3
1847,7
1848,5
1849,2
1850,4
1851,1
1852,2
1853,0
1854,6
1855,5
1856,6
1857,5
1858,3
1859,6
1860,7
1861,0
1862,2
1863,7
1864,3
1865,2
1866,6
1867,6
1868,5
1869,6
1870,0
1871,7
1872,2
1873,7
1874,2
1875,1
1876,2
1877,7
1878,6
1879,1
1880,6
1881,2
1882,3
1883,6
1884,5
1885,5
1886,4
1887,3
1888,5
1889,6
1890,1
1891,2
1892,0
1893,4
1894,4
1895,3
1896,6
1897,1
1898,3
1899,3
1900,2
1901,4
1902,3
1903,2
1904,2
1905,6
1906,6
1907,5
1908,5
1909,0
1910,7
1911,4
1912,2
1913,3
1914,7
1915,5
1916,5
1917,1
1918,6
1919,1
1920,0
1921,7
1922,0
1923,0
1924,4
1925,5
1926,3
1927,5
1928,6
1929,1
1930,6
1931,5
1932,5
1933,0
1934,1
1935,3
1936,5
1937,7
1938,3
1939,5
1940,7
1941,3
1942,5
1943,4
1944,1
1945,6
1946,1
1947,6
1948,6
1949,7
1950,1
1951,5
1952,2
1953,5
1954,6
1955,6
1956,7
1957,1
1958,5
1959,1
1960,5
1961,5
1962,3
1963,0
1964,0
1965,6
1966,0
1967,4
1968,1
1969,1
1970,4
1971,2
1972,3
1973,7
1974,1
1975,1
1976,7
1977,0
1978,7
1979,1
1980,5
1981,2
1982,4
1983,5
1984,6
1985,7
1986,7
1987,0
1988,5
1989,6
1990,7
1991,7
1992,6
1993,1
1994,1
1995,5
1996,6
1997,6
1998,4
1999,2
2000,4
2001,2
2002,2
2003,7
2004,7
2005,7
2006,4
2007,1
2008,4
2009,7
2010,3
2011,7
2012,3
2013,0
2014,2
2015,5
2016,5
2017,0
2018,6
2019,2
2020,4
2021,6
2022,2
2023,3
2024,5
2025,3
2026,0
2027,6
2028,1
2029,3
2030,6
2031,6
2032,2
2033,0
2034,0
2035,1
2036,0
2037,1
2038,1
2039,5
2040,0
2041,1
2042,4
2043,7
2044,1
2045,3
2046,5
2047,4
2048,2
2049,0
2050,0
2051,3
2052,3
2053,2
2054,2
2055,1
2056,0
2057,7
2058,5
2059,0
2060,0
2061,1
2062,0
2063,1
2064,0
2065,4
2066,5
2067,1
2068,5
2069,0
2070,3
2071,1
2072,2
2073,5
2074,0
2075,1
2076,3
2077,2
2078,7
2079,3
2080,3
2081,3
2082,3
2083,7
2084,3
2085,1
2086,5
2087,4
2088,1
2089,2
2090,1
2091,4
2092,1
2093,4
2094,6
2095,2
2096,0
2097,4
2098,2
2099,4
2100,0
2101,4
2102,2
2103,5
2104,1
2105,3
2106,0
2107,2
2108,4
2109,4
2110,3
2111,7
2112,2
2113,6
2114,5
2115,0
2116,6
2117,7
2118,0
2119,4
2120,1
2121,5
2122,2
2123,2
2124,2
2125,7
2126,0
2127,7
2128,5
2129,2
2130,4
2131,3
2132,1
2133,4
2134,3
2135,5
2136,0
2137,1
2138,5
2139,5
2140,5
2141,3
2142,2
2143,6
2144,5
2145,0
2146,7
2147,6
2148,7
2149,4
2150,3
2151,6
2152,6
2153,2
2154,4
2155,0
2156,3
2157,5
2158,4
2159,0
2160,3
2161,6
2162,5
2163,3
2164,0
2165,1
2166,4
2167,3
2168,0
2169,1
2170,2
2171,0
2172,3
2173,2
2174,2
2175,0
2176,4
2177,0
2178,0
2179,0
2180,6
2181,6
2182,6
2183,7
2184,3
2185,2
2186,1
2187,1
2188,3
2189,6
2190,3
2191,5
2192,3
2193,7
2194,1
2195,0
2196,0
2197,1
2198,3
2199,7
2200,0
2201,7
2202,3
2203,2
2204,2
2205,5
2206,4
2207,2
2208,7
2209,1
2210,5
2211,1
2212,0
2213,7
2214,1
2215,6
2216,5
2217,1
2218,3
2219,3
2220,5
2221,0
2222,2
2223,5
2224,7
2225,3
2226,1
2227,7
2228,2
2229,5
2230,2
2231,4
2232,7
2233,0
2234,4
2235,7
2236,5
2237,1
2238,6
2239,0
2240,6
2241,7
2242,1
2243,0
2244,7
2245,5
2246,4
2247,5
2248,0
2249,4
2250,5
2251,5
2252,3
2253,7
2254,1
2255,7
2256,0
2257,6
2258,2
2259,5
2260,1
2261,3
2262,6
2263,2
2264,3
2265,6
2266,6
2267,6
2268,5
2269,5
2270,5
2271,5
2272,1
2273,6
2274,2
2275,6
2276,1
2277,3
2278,3
2279,2
2280,4
2281,5
2282,5
2283,5
2284,4
2285,3
2286,4
2287,3
2288,5
2289,4
2290,6
2291,5
2292,3
2293,7
2294,4
2295,7
2296,5
2297,0
2298,3
2299,4
2300,4
2301,0
2302,4
2303,4
2304,0
2305,0
2306,4
2307,7
2308,2
2309,7
2310,6
2311,0
2312,4
2313,4
2314,3
2315,7
2316,7
2317,0
2318,2
2319,1
2320,7
2321,5
2322,3
2323,2
2324,6
2325,4
2326,3
2327,0
2328,7
2329,6
2330,3
2331,4
2332,7
2333,3
2334,3
2335,0
2336,6
2337,2
2338,4
2339,4
2340,6
2341,5
2342,1
2343,4
2344,6
2345,5
2346,4
2347,4
2348,4
2349,5
2350,7
2351,2
2352,5
2353,7
2354,2
2355,2
2356,2
2357,1
2358,3
2359,5
2360,5
2361,7
2362,0
2363,1
2364,3
2365,4
2366,7
2367,0
2368,1
2369,5
2370,0
2371,7
2372,0
2373,3
2374,7
2375,4
2376,6
2377,6
2378,2
2379,6
2380,5
2381,1
2382,2
2383,5
2384,3
2385,0
2386,1
2387,4
2388,0
2389,0
2390,4
2391,3
2392,0
2393,1
2394,2
2395,6
2396,1
2397,2
2398,4
2399,3
2400,2
2401,1
2402,3
2403,2
2404,2
2405,5
2406,3
2407,1
2408,2
2409,6
2410,5
2411,4
2412,7
2413,5
2414,0
2415,0
2416,3
2417,0
2418,2
2419,1
2420,7
2421,4
2422,1
2423,7
2424,7
2425,0
2426,0
2427,6
2428,7
2429,5
2430,3
2431,5
2432,4
2433,2
2434,7
2435,2
2436,1
2437,1
2438,0
2439,0
2440,3
2441,6
2442,4
2443,5
2444,7
2445,3
2446,6
2447,1
2448,0
2449,1
2450,4
2451,1
2452,6
2453,2
2454,2
2455,0
2456,1
2457,2
2458,3
2459,2
2460,2
2461,6
2462,7
2463,5
2464,6
2465,5
2466,6
2467,4
2468,2
2469,0
2470,6
2471,3
2472,3
2473,7
2474,1
2475,7
2476,1
2477,5
2478,7
2479,6
2480,1
2481,4
2482,3
2483,4
2484,4
2485,6
2486,1
2487,6
2488,7
2489,4
2490,7
2491,0
2492,4
2493,3
2494,0
2495,0
2496,0
2497,4
2498,0
2499,0
2500,7
2501,4
2502,5
2503,3
2504,6
2505,5
2506,4
2507,4
2508,2
2509,5
2510,4
2511,1
2512,3
2513,7
2514,0
2515,0
2516,7
2517,1
2518,5
2519,6
2520,7
2521,4
2522,0
2523,0
2524,4
2525,6
2526,1
2527,7
2528,0
2529,1
2530,7
2531,6
2532,5
2533,3
2534,0
2535,2
2536,1
2537,4
2538,4
2539,4
2540,0
2541,1
2542,3
2543,5
2544,5
2545,0
2546,6
2547,0
2548,6
2549,2
2550,7
2551,3
2552,4
2553,2
2554,0
2555,6
2556,3
2557,7
2558,2
2559,7
2560,1
2561,0
2562,2
2563,0
2564,5
2565,5
2566,6
2567,2
2568,2
2569,2
2570,5
2571,3
2572,7
2573,6
2574,1
2575,6
2576,3
2577,0
2578,2
2579,4
2580,1
2581,0
2582,0
2583,3
2584,5
2585,0
2586,6
2587,3
2588,1
2589,2
2590,0
2591,7
2592,6
2593,7
2594,2
2595,1
2596,4
2597,6
2598,7
2599,2
2600,3
2601,6
2602,5
2603,6
2604,5
2605,3
2606,3
2607,7
2608,0
2609,4
2610,0
2611,1
2612,2
2613,6
2614,4
2615,7
2616,6
2617,0
2618,2
2619,7
2620,0
2621,0
2622,4
2623,3
2624,3
2625,2
2626,4
2627,5
2628,3
2629,0
2630,4
2631,2
2632,4
2633,6
2634,3
2635,1
2636,1
2637,2
2638,5
2639,6
2640,2
2641,5
2642,2
2643,5
2644,6
2645,0
2646,6
2647,6
2648,2
2649,6
2650,6
2651,7
2652,7
2653,6
2654,3
2655,3
2656,3
2657,0
2658,7
2659,4
2660,0
2661,5
2662,4
2663,5
2664,4
2665,1
2666,1
2667,5
2668,3
2669,2
2670,0
2671,4
2672,4
2673,3
2674,3
2675,6
2676,1
2677,0
2678,6
2679,6
2680,2
2681,1
2682,5
2683,5
2684,7
2685,3
2686,4
2687,4
2688,2
2689,0
2690,6
2691,3
2692,2
2693,5
2694,7
2695,2
2696,5
2697,7
2698,4
2699,6
2700,0
2701,5
2702,6
2703,5
2704,5
2705,6
2706,2
2707,6
2708,6
2709,3
2710,1
2711,7
2712,3
2713,0
2714,2
2715,3
2716,5
2717,6
2718,0
2719,2
2720,1
2721,7
2722,5
2723,6
2724,5
2725,5
2726,5
2727,2
2728,4
2729,3
2730,6
2731,1
2732,1
2733,2
2734,2
2735,6
2736,3
2737,5
2738,0
2739,0
2740,2
2741,7
2742,7
2743,2
2744,1
2745,2
2746,4
2747,3
2748,5
2749,0
2750,4
2751,1
2752,6
2753,3
2754,7
2755,3
2756,4
2757,0
2758,2
2759,1
2760,3
2761,4
2762,3
2763,2
2764,6
2765,6
2766,1
2767,2
2768,3
2769,6
2770,0
2771,5
2772,3
2773,4
2774,5
2775,5
2776,3
2777,3
2778,4
2779,0
2780,5
2781,6
2782,5
2783,5
2784,3
2785,7
2786,0
2787,2
2788,0
2789,1
2790,7
2791,7
2792,0
2793,6
2794,1
2795,2
2796,2
2797,7
2798,6
2799,4
2800,1
2801,6
2802,0
2803,0
2804,5
2805,1
2806,2
2807,0
2808,1
2809,1
2810,5
2811,6
2812,2
2813,0
2814,5
2815,2
2816,7
2817,2
2818,4
2819,5
2820,2
2821,1
2822,2
2823,0
2824,0
2825,7
2826,1
2827,5
2828,2
2829,2
2830,1
2831,0
2832,2
2833,2
2834,2
2835,1
2836,5
2837,7
2838,0
2839,5
2840,4
2841,5
2842,6
2843,6
2844,1
2845,4
2846,4
2847,3
2848,6
2849,4
2850,3
2851,4
2852,4
2853,2
2854,4
2855,6
2856,4
2857,6
2858,2
2859,2
2860,1
2861,4
2862,4
2863,5
2864,6
2865,4
2866,3
2867,2
2868,2
2869,0
2870,1
2871,7
2872,1
2873,0
2874,2
2875,6
2876,6
2877,5
2878,7
2879,4
2880,2
2881,4
2882,5
2883,7
2884,3
2885,5
2886,0
2887,0
2888,3
2889,7
2890,2
2891,5
2892,4
2893,0
2894,0
2895,7
2896,3
2897,2
2898,3
2899,5
2900,2
2901,1
2902,1
2903,0
2904,3
2905,6
2906,2
2907,0
2908,2
2909,5
2910,2
2911,1
2912,1
2913,0
2914,6
2915,6
2916,7
2917,1
2918,3
2919,3
2920,4
2921,7
2922,0
2923,0
2924,1
2925,6
2926,1
2927,5
2928,4
2929,1
2930,6
2931,0
2932,4
2933,4
2934,1
2935,3
2936,2
2937,7
2938,6
2939,4
2940,6
2941,4
2942,2
2943,6
2944,2
2945,0
2946,1
2947,0
2948,2
2949,1
2950,3
2951,6
2952,2
2953,1
2954,5
2955,6
2956,7
2957,3
2958,4
2959,7
2960,5
2961,6
2962,4
2963,7
2964,6
2965,7
2966,1
2967,3
2968,2
2969,7
2970,6
2971,2
2972,7
2973,7
2974,4
2975,3
2976,1
2977,2
2978,5
2979,3
2980,2
2981,3
2982,5
2983,4
2984,6
2985,6
2986,0
2987,1
2988,0
2989,4
2990,0
2991,5
2992,0
2993,4
2994,1
2995,1
2996,5
2997,7
